schema,table_name,policy_name,command,target_roles,decision,evidence
public,*,retained_policy_catalog,ALL,authenticated,NORMALIZE_ROLE,"PR-02 removed anon relation ACLs; public flows are server mediated"
public,treatment_menu_records,NONE,ALL,NONE,ENABLE_RLS_DENY_ALL,"Class E legacy quarantine; service_role bypass only"
public,treatments,NONE,ALL,NONE,ENABLE_RLS_DENY_ALL,"Class E legacy quarantine; service_role bypass only"
public,appointments,appointments_insert_service_role,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,audit_logs,audit_logs_insert_service_role,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,beta_usage_metrics,System can insert metrics,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,billing_audit_logs,service_role full access billing audit logs,ALL,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,billing_overrides,service_role full access billing overrides,ALL,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,csp_violations,csp_violations_insert_any,INSERT,NONE,DROP_SERVICE_POLICY,"server route uses service credentials"
public,email_logs,service_role_full_access_logs,ALL,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,email_outbox,service_role_full_access_outbox,ALL,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,notifications,notifications_insert_service_role,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,patients,patients_insert_legacy_block,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,reservation_history,reservation_history_insert_service_role,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,reservation_notifications,service_role_full_access_reservation_notifications,ALL,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,security_alerts,security_alerts_insert_any,INSERT,NONE,DROP_SERVICE_POLICY,"server route uses service credentials"
public,security_events,security_events_insert_service_role,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,staff,staff_insert_legacy_block,INSERT,NONE,DROP_SERVICE_POLICY,"service_role has BYPASSRLS"
public,stripe_webhook_events,service_role full access stripe webhook events,ALL,NONE,DROP_SERVICE_POLICY,"signed webhook uses service credentials"
public,subscriptions,service_role full access subscriptions,ALL,NONE,DROP_SERVICE_POLICY,"billing server uses service credentials"
public,clinic_settings,clinic_settings_select_policy,SELECT,NONE,DROP_TAUTOLOGY,"p.clinic_id=p.clinic_id and up.clinic_id=up.clinic_id"
public,clinic_settings,clinic_settings_upsert_policy,ALL,NONE,DROP_TAUTOLOGY,"canonical scoped command policies remain"
public,clinics,clinics_admin_select,SELECT,NONE,DROP_SUBSUMED,"clinics_own_select already enforces can_access_clinic"
public,improvement_backlog,improvement_backlog_admin_all,ALL,NONE,DROP_EXACT_DUPLICATE,"duplicate of legacy admin policy"
public,improvement_backlog,improvement_backlog_authenticated_select,SELECT,NONE,DROP_SUBSUMED,"Users can view backlog is retained as authenticated-only"
public,improvement_backlog,Admins can manage backlog,ALL,NONE,SPLIT_COMMANDS,"split into authenticated INSERT UPDATE DELETE policies"
public,mfa_usage_stats,Admins can view MFA usage stats,SELECT,NONE,DROP_SUBSUMED,"mfa_usage_stats_select_policy includes the same roles plus manager"
public,staff_preferences,staff_preferences_update_policy,UPDATE,NONE,DROP_SUBSUMED,"staff_preferences_update keeps scoped admin and self behavior"
public,staff_preferences,staff_preferences_upsert_policy,ALL,NONE,DROP_OVERBROAD,"self-service insert/delete is disabled by current product spec"
public,user_mfa_settings,Admins can view clinic MFA settings,SELECT,NONE,DROP_SUBSUMED,"user_mfa_settings_select_policy preserves admin clinic access"
public,user_mfa_settings,Users can view own MFA settings,SELECT,NONE,DROP_SUBSUMED,"user_mfa_settings_select_policy preserves self access"
public,manager_clinic_assignments,manager_clinic_assignments_select_admin_or_self_active,SELECT,authenticated,INITPLAN_AUTH_UID,"manager self-read remains active-assignment only"
public,calendar_feed_tokens,calendar_feed_tokens_select_scoped,SELECT,authenticated,INITPLAN_AUTH_UID,"predicate unchanged"
public,staff_profiles,staff_profiles_select_scoped,SELECT,authenticated,INITPLAN_AUTH_UID,"predicate unchanged"
public,staff_clinic_memberships,staff_clinic_memberships_select_scoped,SELECT,authenticated,INITPLAN_AUTH_UID,"predicate unchanged"
public,shift_requests,shift_requests_select_scoped,SELECT,authenticated,INITPLAN_AUTH_UID,"predicate unchanged"
public,shift_requests,shift_requests_insert_scoped,INSERT,authenticated,INITPLAN_AUTH_UID,"predicate unchanged"
public,shift_requests,shift_requests_update_scoped,UPDATE,authenticated,INITPLAN_AUTH_UID,"predicate unchanged"
public,clinic_settings,clinic_settings_update,UPDATE,authenticated,ADD_WITH_CHECK,"prevents clinic_id re-homing outside current scope"
