schema,signature,security_definer,config,effective_acl
"app_private","app_private.assert_manager_clinic_assignment_valid()","true","search_path=public, auth, extensions","postgres;service_role"
"app_private","app_private.assert_subscription_org_root_clinic()","true","search_path=public, auth, extensions","postgres"
"app_private","app_private.belongs_to_clinic(uuid)","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"app_private","app_private.can_access_clinic(uuid)","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"app_private","app_private.custom_access_token_hook(jsonb)","true","search_path=public, auth, extensions","postgres;supabase_auth_admin"
"app_private","app_private.get_current_clinic_id()","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"app_private","app_private.get_current_role()","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"app_private","app_private.get_sibling_clinic_ids(uuid)","true","search_path=public, auth, extensions","authenticated;postgres;service_role"
"app_private","app_private.is_admin()","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"app_private","app_private.jwt_clinic_id()","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"app_private","app_private.jwt_is_admin()","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"app_private","app_private.user_role()","true","search_path=public, auth, extensions","anon;authenticated;postgres;service_role"
"public","normalize_customer_phone(text)","false","search_path=public, auth, extensions","PUBLIC;postgres;anon;authenticated;service_role"
"public","update_reservation_notifications_updated_at()","true","search_path=public","postgres;service_role"
"public","validate_shift_requests_clinic_refs()","true","search_path=public, auth, extensions","postgres;service_role"
