"relation","rows_checked","orphan_count","mismatch_count"
"blocks.resource_id->resources.id","0","0","0"
"care_episodes.customer_id->customers.id","0","0","0"
"customer_insurance_coverages.customer_id->customers.id","0","0","0"
"daily_report_item_tags.daily_report_item_id->daily_report_items.id","0","0","0"
"daily_report_items.care_episode_id->care_episodes.id","0","0","0"
"daily_report_items.customer_id->customers.id","0","0","0"
"daily_report_items.customer_insurance_coverage_id->customer_insurance_coverages.id","0","0","0"
"daily_report_items.daily_report_id->daily_reports.id","0","0","0"
"daily_report_items.menu_billing_profile_id->menu_billing_profiles.id","0","0","0"
"daily_report_items.menu_id->menus.id","0","0","0"
"daily_report_items.reservation_id->reservations.id","0","0","0"
"daily_report_items.staff_resource_id->resources.id","0","0","0"
"menu_billing_profiles.menu_id->menus.id","0","0","0"
"reservation_history.reservation_id->reservations.id","0","0","0"
"reservation_notifications.reservation_id->reservations.id","0","0","0"
"reservations.customer_id->customers.id","12","0","0"
"reservations.menu_id->menus.id","12","0","0"
"reservations.staff_id->resources.id","12","0","0"
